id,path,start_line,end_line,symbol,needle,git_blob_sha,change,url
S12,crates/floe-agent/src/runtime.rs,548,720,drive model request,prompt: manager_prompt,ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,Manager prompt 하드코딩→RoleSpec; bounded ModelContext; optional discovery/context; finalization reserve,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L548-L720
S13,crates/floe-agent/src/runtime.rs,700,831,ModelStep::Call,let Some(descriptor) = descriptors,ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,호출 불허를 안전한 observation으로 정규화하되 실행은 하지 않음; protocol fault와 구분,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L700-L831
S14,crates/floe-agent/src/runtime.rs,820,995,ModelStep::Delegate,"ModelStep::Delegate { agent_id, message }",ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,"TaskId 안정화, child scope, TaskOutcome/TransportError 분리; ID lookup만",https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L820-L995
S15,crates/floe-agent/src/runtime.rs,996,1280,completion / interrupt_executions,fn interrupt_executions,ad516ff88c3679389ecf1ecc80e8b77b22aac8e0,도구 결과·reply·durability를 분리; terminal은 owner CAS로 확정; 기존 settled journal 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/runtime.rs#L996-L1280
S16,crates/floe-agent/src/model_attempt.rs,1,210,generate_with_recovery,pub async fn generate_with_recovery,69fc0443fe68a497f8c3c7a9cb51c253b8068e4a,모델 재시도 원인 구분·예산 통합·unknown tool 정정; invalid batch 사전검사 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/model_attempt.rs#L1-L210
S17,crates/floe-agent/src/capability_execution.rs,1,61,execute_recorded,pub(crate) async fn execute_recorded,6cf38a1dbb1aede36a40425edebeb0aa6b1f55cf,"read/action 안전성 구분, typed result와 durable intent/result ack 유지",https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/capability_execution.rs#L1-L61
S18,crates/floe-agent/src/experts/catalog.rs,1,135,BuiltinExpertKind / BUILTIN_SETUP,pub const BUILTIN_SETUP,2b20b62540bbc0174bfffa559abf00f555164a1b,8개 descriptor를 해당 Expert 폴더로; 공용 enum 실행 분기 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/experts/catalog.rs#L1-L135
S19,crates/floe-agent/src/calendar_history.rs,1,45,calendar_boundary / project_calendar_history,fn calendar_boundary,922fd3a7f4b7fe919bb661d949f47c069a13a3c3,이름 기반 privacy를 provenance로 대체; unknown coverage는 보수적으로 제외,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/src/calendar_history.rs#L1-L45
S20,crates/floe-agent/prompts/manager_role.txt,1,30,Manager role,Use the active Expert descriptions,26ef7955a23fe46a89b86a0b7985c602b5a25f49,Manager pack에 보존; 특정 Expert를 강제하지 않는 일반 위임 원칙 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-agent/prompts/manager_role.txt#L1-L30
S21,crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch.rs,1,24,expert_dispatch::run,schedule::try_run,c317b373ddb7a65cf4332e206f6f01876da10b0e,Schedule 공통 endpoint 통과 후 Calendar-first root를 삭제,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch.rs#L1-L24
S22,crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch.rs,94,220,ConversationExperts::agent_cards / handle_message,BuiltinExpertKind::from_package_id,c317b373ddb7a65cf4332e206f6f01876da10b0e,semantic selection LLM; eligibility metadata; dispatcher enum→registry lookup,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch.rs#L94-L220
S23,crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch/schedule.rs,30,140,schedule::try_run setup/model routing,let remote_acquisition,abf062625b973b8b3d29d76b070c815109b39dec,setup 존재에 의한 root 전환·provider→Foundation 강제 선택 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch/schedule.rs#L30-L140
S24,crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch/schedule.rs,130,225,CalendarAgentTurnRequest construction,core.run_calendar_agent_turn,abf062625b973b8b3d29d76b070c815109b39dec,Schedule child input/ports로 이동; /focus는 일반 goal; proposals→Actions,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch/schedule.rs#L130-L225
S25,crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch/schedule.rs,227,420,BoundAccess / validate_active_connection,fn validate_active_connection,abf062625b973b8b3d29d76b070c815109b39dec,binding/identity/scope validation을 access+provider source adapter로 보존,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn/expert_dispatch/schedule.rs#L227-L420
S26,crates/floe-ffi/src/vault_host/conversation_turn.rs,49,97,conversation_turn::run,memories: vault.personal_memory_context,d258069c0afe9d642cef4ffc250677988db91950,선택적 memory/context의 실패가 root admission을 무조건 중단하지 않도록 ContextService로 이동,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn.rs#L49-L97
S27,crates/floe-ffi/src/vault_host/conversation_turn.rs,98,275,run_general_turn / optional_task_views,async fn optional_task_views,d258069c0afe9d642cef4ffc250677988db91950,FFI orchestration→ConversationService; Tool/Expert/Source lazy ports 주입,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn.rs#L98-L275
S28,crates/floe-ffi/src/vault_host/conversation_turn.rs,298,447,Model / GovernedModel / dependency resolver,struct GovernedModel,d258069c0afe9d642cef4ffc250677988db91950,"model execution→Inference, projection→Context, authority/release→Access",https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host/conversation_turn.rs#L298-L447
S29,crates/floe-core/src/agent_calendar.rs,48,317,run_calendar_agent_turn,pub async fn run_calendar_agent_turn,3d2f73795ffe674f530292a45855db7b4475e7a1,전용 root 조립 분해; Calendar task/note 선행조건을 lazy source로,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_calendar.rs#L48-L317
S30,crates/floe-core/src/agent_calendar.rs,780,997,CalendarTurn SessionStore,SessionStore for CalendarTurn,3d2f73795ffe674f530292a45855db7b4475e7a1,registry/session joint commit 불변식은 permit+owner port로; 전역 registry revision 의존 축소,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_calendar.rs#L780-L997
S31,crates/floe-core/src/agent_calendar.rs,997,1095,CalendarTurn cards / Expert invocation,vec![self.card.clone()],3d2f73795ffe674f530292a45855db7b4475e7a1,single-card Manager 제거; Schedule endpoint role-scoped 실행으로 이동,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_calendar.rs#L997-L1095
S32,crates/floe-core/src/agent_calendar.rs,1080,1200,CalendarModel / history boundary,struct CalendarModel,3d2f73795ffe674f530292a45855db7b4475e7a1,model 전후 검증을 범용 projection/dispatch/release permit으로 대체,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_calendar.rs#L1080-L1200
S33,crates/floe-core/src/calendar_view.rs,1,420,CalendarTimelineViews / lease tracking,pub struct CalendarTimelineViews,dbdef95306aa5962450238cc0d19a0488954681a,Context의 source lease 구현; source·consumer별 독립 의존성 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/calendar_view.rs#L1-L420
S34,crates/floe-core/src/calendar_view.rs,633,765,authorized / revalidate,pub async fn revalidate,dbdef95306aa5962450238cc0d19a0488954681a,freshness/authority 재검증 보존; pre-read 없는 대화에 source dependency 부과 금지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/calendar_view.rs#L633-L765
S35,crates/floe-ffi/src/vault_host.rs,107,240,VaultBridge / Worker / Job / Progress,struct Worker,d65715611a0f6c21688e1b22ce43ff98a11630bc,공용 단일 작업 슬롯을 Root/Task/Connection owner로; transport result는 tagged union,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host.rs#L107-L240
S36,crates/floe-ffi/src/vault_host.rs,285,482,Worker::with_core loop,runtime.block_on,d65715611a0f6c21688e1b22ce43ff98a11630bc,장기 모델·learner 네트워크를 Vault writer loop에서 분리; 보안 revoke 우선 처리,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host.rs#L285-L482
S37,crates/floe-ffi/src/vault_host.rs,470,615,Worker::request / Release,*active = None;,d65715611a0f6c21688e1b22ce43ff98a11630bc,run-ID admission/query/cancel; 완료 실행권 회수는 backend; release는 관측 cleanup만,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host.rs#L470-L615
S38,crates/floe-ffi/src/vault_host.rs,1270,1395,ConversationSession / ConversationTurn,ensure_builtin_experts,d65715611a0f6c21688e1b22ce43ff98a11630bc,매 turn registry 설치·갱신 제거; 명시적 Catalog bootstrap/reconcile,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host.rs#L1270-L1395
S39,crates/floe-ffi/src/vault_host.rs,1450,1610,Memory / Connections / PairingPrepare,AgentVaultActionDto::RemotePairingPrepare,d65715611a0f6c21688e1b22ce43ff98a11630bc,업무 handler를 소유 module로; 공용 vault job에 묶지 않음,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host.rs#L1450-L1610
S40,crates/floe-ffi/src/vault_host.rs,2390,2550,ensure_builtin_experts,async fn ensure_builtin_experts,d65715611a0f6c21688e1b22ce43ff98a11630bc,카탈로그 설치/활성 관측은 Experts/Connection 관리 operation; chat prerequisite 아님,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host.rs#L2390-L2550
S41,crates/floe-ffi/src/vault_host.rs,2640,2940,failure_envelope / classify_failure / recovery_action,fn classify_failure,d65715611a0f6c21688e1b22ce43ff98a11630bc,stage 문자열 추론 대신 structured origin/scope; safe_actions를 실제 UI 동작과 일치,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/vault_host.rs#L2640-L2940
S42,crates/floe-core/src/agent_vault.rs,1,108,VaultKeyProvider / EncryptedAgentVault,pub struct EncryptedAgentVault,e45aaaf27d1108bd786ccedc0b38973821451705,"OS key+encrypted engine→vault/native, private fields 유지",https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_vault.rs#L1-L108
S43,crates/floe-core/src/agent_vault.rs,109,240,GovernedAgentSessionStore dependency recording,pub async fn record_dependency,e45aaaf27d1108bd786ccedc0b38973821451705,dependency accumulator→Context execution scope; repository에는 records/CAS만,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_vault.rs#L109-L240
S44,crates/floe-core/src/agent_vault.rs,520,620,create/open schema/key checks,pub async fn open,e45aaaf27d1108bd786ccedc0b38973821451705,"encryption, identity, private directory, file lock, schema validation 보존",https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_vault.rs#L520-L620
S45,crates/floe-core/src/agent_vault.rs,621,820,session persistence / key availability,fn connection(&self),e45aaaf27d1108bd786ccedc0b38973821451705,owner별 repository·짧은 transaction; key 변화는 Access lifecycle epoch로 전파,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_vault.rs#L621-L820
S46,crates/floe-core/src/agent_vault/learning.rs,20,180,learning store / stage_memory_candidate,pub async fn stage_memory_candidate,838fd5826993abf7b97d3cbbfbc35ddda64fcd56,Knowledge policy와 SQL 분리; Completed+independent evidence+revision+dedupe 조건 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_vault/learning.rs#L20-L180
S47,crates/floe-core/src/core.rs,1,166,FloeCore / timeline operations,pub struct FloeCore,4c9a3b19ec91c550ffc43d46a8af28a7df5b41e6,DayService에 repository 주입; concrete store와 lease registry 전역 결합 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/core.rs#L1-L166
S48,crates/floe-core/src/ports/timeline_repository.rs,1,26,TimelineRepository,pub trait TimelineRepository,42cf0eb09ee424b3ff3ea753a2793a6fff6d579a,Day public port로 이동; trait object 필요 시 boxed Future adapter,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/ports/timeline_repository.rs#L1-L26
S49,crates/floe-infra/src/remote_model.rs,20,117,ServerModelRunner::new,pub fn new(route: AgentRemoteRouteDto),8c944a9c7f4bfcf293b0535439fdd0ca1823b101,inference profile와 connection/source metadata 분리; URL/bearer validation 보존,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-infra/src/remote_model.rs#L20-L117
S50,crates/floe-infra/src/remote_model.rs,100,229,read_authorized_view / source readers,pub async fn read_authorized_view,8c944a9c7f4bfcf293b0535439fdd0ca1823b101,모델 adapter에서 source API를 분리; admission/read/release hash·identity 검증 보존,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-infra/src/remote_model.rs#L100-L229
S51,crates/floe-ffi/src/lib.rs,1,70,FloeHandle,pub struct FloeHandle,61be0d6824c81115dc9fb410cc4d05227d5b2a6b,app handle만 보유하는 FFI로; runtime/agent_runs/local_context 업무 ownership 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/lib.rs#L1-L70
S52,crates/floe-ffi/src/lib.rs,73,190,error mapping / c_input / guarded,fn guarded,61be0d6824c81115dc9fb410cc4d05227d5b2a6b,C ABI 입력·allocation·panic guard 유지; DTO conversion을 free function으로,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/lib.rs#L73-L190
S53,crates/floe-protocol/src/lib.rs,1,60,protocol exports,AgentVaultActionDto,a6e5c8dd2a182d597296d53dda3179eca9cd02b2,versioned command/query/event DTO를 domain별 모듈로; fixture product API 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-protocol/src/lib.rs#L1-L60
S54,crates/floe-ffi/src/diagnostics.rs,1,100,request guard / panic_error,thread_local!,a5d74afd7efae74124b183727b78d59f8e0b8f43,async task span 상관관계; 민감 원문 금지·panic hook 포함 테스트,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-ffi/src/diagnostics.rs#L1-L100
S55,apps/client/lib/features/day_canvas/application/ffi_day_gateway.dart,38,127,FfiDayGateway / _remoteRoute,"Future<Map<String, Object?>?> _remoteRoute",090eb1464898e53995a2adce3f3ce596b3f571c2,shared FloeClient로; 모델 route 선정과 source catalog 결합 삭제,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/day_canvas/application/ffi_day_gateway.dart#L38-L127
S56,apps/client/lib/features/agent/agent_vault_gateway.dart,1000,1138,begin/poll/stop/releaseConversationTurn,Future<AgentRunUpdate> beginConversationTurn,e14901a17c874221ab6dae5da7ee2e8c5aa430d6,commandId/runId 전송과 재조회만; mutable singleton _run/_pending 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_vault_gateway.dart#L1000-L1138
S57,apps/client/lib/features/agent/agent_vault_gateway.dart,1570,1640,_perform / _drain / _finish,Future<void> _drain(),e14901a17c874221ab6dae5da7ee2e8c5aa430d6,일반 요청의 stop 제거; per-command correlation과 timeout≠cancel,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_vault_gateway.dart#L1570-L1640
S58,apps/client/lib/features/agent/agent_vault_gateway.dart,1660,1940,_call / _failureEnvelope,"Future<Map<String, dynamic>> _call",e14901a17c874221ab6dae5da7ee2e8c5aa430d6,오류는 한 번 분류·같은 incident 전달; wire validator의 중복 수기 목록 감소,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_vault_gateway.dart#L1660-L1940
S59,apps/client/lib/features/agent/agent_controller.dart,1,180,AgentController dependencies and state,final class AgentController,1c47def26723d9e318f284ef4abbcdbda4a60bd4,run/session source-of-truth 상태 필드→AppReadModel projection; feature간 controller 참조 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_controller.dart#L1-L180
S60,apps/client/lib/features/agent/agent_controller.dart,344,450,busy / canSend / load / recover,bool get busy,1c47def26723d9e318f284ef4abbcdbda4a60bd4,session-specific readiness; connection/memory 로딩을 canSend에 합치지 않음,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_controller.dart#L344-L450
S61,apps/client/lib/features/agent/agent_controller.dart,451,594,_sendConversationText,Future<void> _sendConversationText,1c47def26723d9e318f284ef4abbcdbda4a60bd4,poll/cleanup/Release owner 제거; submit→receipt→observe,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_controller.dart#L451-L594
S62,apps/client/lib/features/agent/agent_controller.dart,650,950,event acceptance / lock / _fail,void _fail(,1c47def26723d9e318f284ef4abbcdbda4a60bd4,task failure를 session 삭제로 확대하지 않음; 실제 Vault epoch 봉인만 전역 clear,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_controller.dart#L650-L950
S63,apps/client/lib/features/agent/agent_panel.dart,290,445,composer / recovery actions,controller.failureSafeActions,18c23e046b521e53c5fca9852de82412d792498c,typed recovery command 실제 연결; draft/focus만 local state,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/agent/agent_panel.dart#L290-L445
S64,apps/client/lib/features/day_canvas/presentation/connector_screen.dart,139,270,_loadCatalog / _synchronizeServerCalendar,Future<void> _synchronizeServerCalendar,ff13c33d3894b8c296cf1e49a5f571d8135a0925,query·refresh·reconcile 분리; lookup failure를 disconnect로 처리 금지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/day_canvas/presentation/connector_screen.dart#L139-L270
S65,apps/client/lib/features/day_canvas/presentation/server_connector_panel.dart,110,269,_connect / _poll / _cancel / _waitForPoll,Future<void> _waitForPoll(),c94a666f7634711aa578daa245bac6386b6670e8,operation owner를 Connections로; cancel-aware delay; mutation/refresh outcome 분리,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/day_canvas/presentation/server_connector_panel.dart#L110-L269
S66,apps/client/lib/features/server/local_server_panel.dart,77,288,pairing / polling / abort,Future<void> _pair(),1d3698c3f4bd53c56065e4a769db31b92a301810,PairingService operation으로; proof/challenge 검증 유지; widget는 승인 UI만,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/server/local_server_panel.dart#L77-L288
S67,apps/client/lib/features/server/local_server_client.dart,540,730,connector operations / purposes,Future<ServerConnectorAttempt> connectConnector,fc654876ca9df72b12561f11cbdef80451759176,provider-control adapter로 이동; Person/device/preconditions 검증 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/features/server/local_server_client.dart#L540-L730
S68,apps/client/lib/infrastructure/native/native_transport.dart,150,240,NativeTransport / request,final class NativeTransport,10e88491d38884f3dc65ca3f16fc1ba60d8f5161,per-request response/error/exit/timeout completion; process lifetime owner와 UI 분리,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/apps/client/lib/infrastructure/native/native_transport.dart#L150-L240
S69,server/cmd/floe-server/main.go,1,149,main optional provider bootstrap,func main(),53cfb12f213af7e2e2353eac6380eca3c092e538,필수 security failure와 optional provider initialization 분리,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/server/cmd/floe-server/main.go#L1-L149
S70,server/cmd/floe-server/main.go,151,215,legacyGateway / serve,func serve(,53cfb12f213af7e2e2353eac6380eca3c092e538,server application 조립 및 lifecycle 유지; standalone inference 모드 기능 보존 후 통합,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/server/cmd/floe-server/main.go#L151-L215
S71,server/internal/console/console.go,91,220,Console interfaces / state,type Console struct,fcb6a925c2bcd0f2544dd883e8b36190ac16ebcf,HTTP session/CSRF만 transport; 연결·pairing·inference·authority state owner 분리,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/server/internal/console/console.go#L91-L220
S72,AGENTS.md,1,50,repository development rules,Preserve essential authorization,d09521326e189436b77d7e1ae6b40495180c60bb,Apple 우선·실사용 검증·최소 회귀 원칙을 실행 지침에 포함,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/AGENTS.md#L1-L50
S73,crates/floe-core/src/agent_action.rs,1,235,inspect/prepare/execute_expert_calendar_action,pub async fn prepare_expert_calendar_action,20ae22244cd1665e07faa2de1f0efe9625fa2978,Actions 소유권으로 분리; provenance/payload/expiry/idempotency binding 유지; 구체 ExpertResult 의존 제거,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_action.rs#L1-L235
S74,crates/floe-core/src/agent_vault/access_grants.rs,1,200,AccessGrantMutation / create_data_access_grant,pub async fn create_data_access_grant,66d47bf53c8ac2e87576e3f0baea42b04975c83a,권한 전이→Access; schema+SQL+CAS→vault; same transaction cleanup fence 유지,https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_vault/access_grants.rs#L1-L200
S75,crates/floe-core/src/agent_vault/session_archive.rs,1,200,compact_session / search_sessions,pub async fn compact_session,51ace67141460f29703644258a32e08354746e2f,"기존 archive/search 보존; Context는 projection과 coverage, Conversation은 archive 지시, vault는 원자적 보관",https://github.com/syi0808/floe/blob/efedfc6089341ed0a480d7401764284fa5e7543e/crates/floe-core/src/agent_vault/session_archive.rs#L1-L200
